Week  Scheme       Weight   Olympic    Power   
1     6x3@55%      81.4     81.0       82.5    
2     4x4@60%      88.8     89.0       90.0    
3     3x5@65%      96.2     96.0       95.0    
4     6x2@70%      103.6    104.0      102.5   
5     5x2@75%      111.0    111.0      110.0   
6     4x2@80%      118.4    118.0      117.5   
7     6x1@85%      125.8    126.0      125.0   
8     4x1@90%      133.2    133.0      132.5   
9     2x1@95%      140.6    141.0      140.0   
